SubClass,Label,Label,Class,Definition,imported from,definition source,comments,Synonyms,dateSubmitted
ID,AL rdfs:label@en,AL rdfs:label@de,SC %,A IAO:0000115,A IAO:0000412,A IAO:0000119,AL rdfs:comment@en,A IAO:0000118,A http://purl.org/dc/terms/dateSubmitted
DIGITRUBBER:DIGITRUBBER_000001,measurement quality [imr],,http://purl.obolibrary.org/obo/BFO_0000019,"In relation to optical measuring methods a 
rating for the precision of a reconstructed
measurement object",,,,,
DIGITRUBBER:DIGITRUBBER_000002,extrudate [imr],,http://purl.obolibrary.org/obo/BFO_0000040,"definded rigid Object based as result of an 
extrusion process",,,,,
DIGITRUBBER:DIGITRUBBER_000003,geometry [imr],,http://purl.obolibrary.org/obo/BFO_0000019,,,,,,
DIGITRUBBER:DIGITRUBBER_000004,geometry [geosparql],,http://purl.obolibrary.org/obo/BFO_0000019,A coherent set of direct positions in space. The positions are held within a Spatial Reference System (SRS).,http://www.opengis.net/ont/geosparql#,http://www.opengis.net/ont/geosparql#Geometry,,,
DIGITRUBBER:DIGITRUBBER_000005,point cloud [imr],,http://purl.obolibrary.org/obo/IAO_0000030,"A gathering of individual points with an 
with an unstructured spatial structure",,,,,
DIGITRUBBER:DIGITRUBBER_000006,triangulation [imr],,http://purl.obolibrary.org/obo/IAO_0000104,"geometrical method to determine distances 
between to points",,,,,
DIGITRUBBER:DIGITRUBBER_000007,millimeter [imr],millimeter [imr],http://purl.obolibrary.org/obo/UO_1000008,,,,,,
DIGITRUBBER:DIGITRUBBER_000008,millimeter [nist],millimeter [nist],http://purl.obolibrary.org/obo/UO_1000008,"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]",http://purl.obolibrary.org/obo/uo.owl,https://ontobee.org/ontology/UO?iri=http://purl.obolibrary.org/obo/UO_0000016,"Imported from ontocomons, also present in TIB terminological service",mm MILLIMETER Millimeter millimeter(s) millimeter,
DIGITRUBBER:DIGITRUBBER_000409,millimeter [dik],millimeter [dik],http://purl.obolibrary.org/obo/UO_1000008,,,,,,
DIGITRUBBER:DIGITRUBBER_000410,millimeter [ncit],millimeter [ncit],http://purl.obolibrary.org/obo/UO_1000008,A metric unit of length equal to one thousandth of a meter (10E-3 meter) or approximately 0.03937 inch.,http://purl.obolibrary.org/obo/NCIT_C28251,http://purl.obolibrary.org/obo/ncit.owl,,,
DIGITRUBBER:DIGITRUBBER_000411,millimeter [uo],millimeter [uo],http://purl.obolibrary.org/obo/UO_1000008,"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]",http://purl.obolibrary.org/obo/UO_0000016,http://purl.obolibrary.org/obo/uo.owl,,,
DIGITRUBBER:DIGITRUBBER_000009,surface of extrudate [imr],,http://purl.obolibrary.org/obo/BFO_0000141,uppermost layer of the extrudate,,,,,
DIGITRUBBER:DIGITRUBBER_000010,line in the surface of extrudate [imr],,http://purl.obolibrary.org/obo/BFO_0000141,cutout of a single line of the extrudate surface,,,,,
DIGITRUBBER:DIGITRUBBER_000011,shape [imr],,http://purl.obolibrary.org/obo/BFO_0000141,,,,,,
DIGITRUBBER:DIGITRUBBER_000012,shape [ncit],,http://purl.obolibrary.org/obo/BFO_0000141,The spatial arrangement of something as distinct from its substance.,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C25677,,,
DIGITRUBBER:DIGITRUBBER_000013,shape [pato],,http://purl.obolibrary.org/obo/BFO_0000141,"A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc).",https://ontobee.org/ontology/PATO,http://purl.obolibrary.org/obo/PATO_0000052,,,
DIGITRUBBER:DIGITRUBBER_000014,stitching process [imr],,http://purl.obolibrary.org/obo/BFO_0000015,"use of different algorithms to determine the 
exact allignment respectively the characteristik shared edges",,,,,
DIGITRUBBER:DIGITRUBBER_000015,stitching method [imr],,http://purl.obolibrary.org/obo/IAO_0000104,"alligning of single measurements to form a 
connected/combined measurement",,,,,
DIGITRUBBER:DIGITRUBBER_000016,distance between sensor and extrudate [imr],,http://purl.obolibrary.org/obo/BFO_0000019,,,,,,
DIGITRUBBER:DIGITRUBBER_000017,extrudate norm [imr],,http://purl.obolibrary.org/obo/IAO_0000030,"ideal dimensions and shape of the
extrudate defined by the manufacturer",,,,,
DIGITRUBBER:DIGITRUBBER_000018,standard deviation [imr],,http://purl.obolibrary.org/obo/IAO_0000030,"a quantity expressing by how much the
members of a group differ from the mean
 value for the group ",,,,,
DIGITRUBBER:DIGITRUBBER_000019,standard deviation [Wikipedia],,http://purl.obolibrary.org/obo/IAO_0000030,The standard deviation is a measure of the amount of variation or dispersion of a set of values. [Wikipedia],http://purl.allotrope.org/,http://purl.allotrope.org/ontologies/result#AFR_0002192,from ontocommons skos:definition,,
DIGITRUBBER:DIGITRUBBER_000020,standard deviation [ncit],,http://purl.obolibrary.org/obo/IAO_0000030,"A measure of the range of values in a set of numbers. Standard deviation is a statistic used as a measure of the dispersion or variation in a distribution, equal to the square root of the arithmetic mean of the squares of the deviations from the arithmetic mean.",http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C53322,TIB terminological service,,
DIGITRUBBER:DIGITRUBBER_000021,interior orientation [jade],,http://purl.obolibrary.org/obo/IAO_0000030,,,,,,
DIGITRUBBER:DIGITRUBBER_000022,camera coordinate system [jade],,http://purl.obolibrary.org/obo/BFO_0000019,,,,,,
DIGITRUBBER:DIGITRUBBER_000023,exterior orientation [jade],,http://purl.obolibrary.org/obo/IAO_0000030,,,,,,
DIGITRUBBER:DIGITRUBBER_000024,camera calibration [jade],,http://purl.obolibrary.org/obo/BFO_0000019,,,,,,
DIGITRUBBER:DIGITRUBBER_000025,bundle adjustment [jade],,http://purl.obolibrary.org/obo/IAO_0000104,,,,,,
DIGITRUBBER:DIGITRUBBER_000026,agent [ita],,http://purl.obolibrary.org/obo/BFO_0000023,An agent is a system that perceives its environment through sensors and can interact with it through actions.,,,,,
DIGITRUBBER:DIGITRUBBER_000027,agent [ncti],,http://purl.obolibrary.org/obo/BFO_0000023,"An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect.",,http://purl.obolibrary.org/obo/NCIT_C1708,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000028,approximation [ita],,http://purl.obolibrary.org/obo/IAO_0000104,Approximation is a technique for approximating a value using historical or available observations from the domain.,,,,,
DIGITRUBBER:DIGITRUBBER_000029,function approximation [ita],,http://purl.obolibrary.org/obo/IAO_0000104,Function approximation is a technique for estimating an unknown underlying function using historical or available observations from the domain.,,,,,
DIGITRUBBER:DIGITRUBBER_000030,reinforcement learning [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Reinforcement learning is a set of machine learning methods in which an agent autonomously learns a strategy to maximize a reward. Algorithms follow the trail-and-error principle, thus try several strategies and repeat those with a higher reward. During the training the agent produces an input, while the target output is only known to a teacher. The teacher gives feedback to the agent in form of a reward.",,,,,
DIGITRUBBER:DIGITRUBBER_000031,library [ita],,http://purl.obolibrary.org/obo/IAO_0000030,Libraries in programming languages are collections of prewritten code that users can use to optimize tasks.,,,,,
DIGITRUBBER:DIGITRUBBER_000032,cluster analysis [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Clustering or cluster analysis is a unsupervised machine learning technique, which groups the unlabelled dataset. It can be defined as a way of grouping the data points into different clusters, consisting of similar data points.",,,,,
DIGITRUBBER:DIGITRUBBER_000033,cluster analysis [ncti],,http://purl.obolibrary.org/obo/IAO_0000104,Methods for grouping objects into subsets such that those within each cluster are more closely related to one another than objects assigned to different clusters.,,http://purl.obolibrary.org/obo/NCIT_C15426,http://purl.obolibrary.org/obo/ncit.owl,,
